created_at,entry_id,temperatura_ambiente,humedad_ambiente,temperatura_suelo,humedad_suelo,latitude,longitude,elevation,status
2024-11-13T13:31:40+00:00,1275,22.2,75,20.06,44,,,,
2024-11-13T13:31:57+00:00,1276,22.2,75,19.94,44,,,,
2024-11-13T13:32:13+00:00,1277,22.2,75,19.87,45,,,,
2024-11-13T13:32:30+00:00,1278,22.2,74,19.94,46,,,,
2024-11-13T13:32:47+00:00,1279,22.2,73,19.87,47,,,,
2024-11-13T13:33:04+00:00,1280,22.2,73,19.81,48,,,,
2024-11-13T13:33:22+00:00,1281,22.2,73,19.75,48,,,,
2024-11-13T13:33:38+00:00,1282,22.2,74,19.69,48,,,,
2024-11-13T13:33:56+00:00,1283,22.3,74,19.69,48,,,,
2024-11-13T13:34:16+00:00,1284,22.6,74,19.56,49,,,,
2024-11-13T13:34:34+00:00,1285,22.6,74,19.56,49,,,,
2024-11-13T13:34:51+00:00,1286,22.6,73,19.5,50,,,,
2024-11-13T13:35:08+00:00,1287,22.6,73,19.5,49,,,,
2024-11-13T13:35:25+00:00,1288,22.6,73,19.44,50,,,,
2024-11-13T13:35:41+00:00,1289,22.6,73,19.44,50,,,,
2024-11-13T13:35:58+00:00,1290,22.6,73,19.44,50,,,,
2024-11-13T13:36:16+00:00,1291,22.6,74,19.37,50,,,,
2024-11-13T13:36:35+00:00,1292,22.6,74,19.31,50,,,,
2024-11-13T13:36:51+00:00,1293,22.6,74,19.37,50,,,,
2024-11-13T13:37:09+00:00,1294,22.6,74,19.37,51,,,,
2024-11-13T13:37:27+00:00,1295,22.6,74,19.31,50,,,,
2024-11-13T13:37:44+00:00,1296,22.6,74,19.31,51,,,,
2024-11-13T13:38:02+00:00,1297,22.6,73,19.31,50,,,,
2024-11-13T13:38:19+00:00,1298,22.6,74,19.31,50,,,,
2024-11-13T13:38:36+00:00,1299,22.6,74,19.31,50,,,,
2024-11-13T13:38:52+00:00,1300,23,74,19.31,50,,,,
2024-11-13T13:39:10+00:00,1301,23,73,19.25,50,,,,
2024-11-13T13:39:28+00:00,1302,23,73,19.25,50,,,,
2024-11-13T13:39:44+00:00,1303,23,73,19.25,50,,,,
2024-11-13T13:40:01+00:00,1304,23,73,19.25,50,,,,
2024-11-13T13:40:18+00:00,1305,23,73,19.31,50,,,,
2024-11-13T13:40:34+00:00,1306,23,73,19.25,50,,,,
2024-11-13T13:40:53+00:00,1307,23,72,19.25,50,,,,
2024-11-13T13:41:11+00:00,1308,23,72,19.19,51,,,,
2024-11-13T13:41:28+00:00,1309,23,71,19.19,51,,,,
2024-11-13T13:41:44+00:00,1310,23,71,19.19,50,,,,
2024-11-13T13:42:03+00:00,1311,23,71,19.19,51,,,,
2024-11-13T13:42:19+00:00,1312,23,71,19.19,51,,,,
2024-11-13T13:42:36+00:00,1313,23,71,19.19,51,,,,
2024-11-13T13:42:53+00:00,1314,23,71,19.19,51,,,,
2024-11-13T13:43:10+00:00,1315,23,72,19.19,51,,,,
2024-11-13T13:43:27+00:00,1316,23,72,19.12,51,,,,
2024-11-13T13:43:44+00:00,1317,23,71,19.12,51,,,,
2024-11-13T13:44:00+00:00,1318,23,71,19.12,52,,,,
2024-11-13T13:44:19+00:00,1319,23,71,19.12,51,,,,
2024-11-13T13:44:37+00:00,1320,23,71,19.12,51,,,,
2024-11-13T13:44:54+00:00,1321,23,71,19.12,51,,,,
2024-11-13T13:45:11+00:00,1322,23,71,19.06,51,,,,
2024-11-13T13:45:29+00:00,1323,23,71,19,52,,,,
2024-11-13T13:45:46+00:00,1324,23,71,19.06,51,,,,
2024-11-13T13:46:03+00:00,1325,23,70,19.06,51,,,,
2024-11-13T13:46:19+00:00,1326,23,70,19,52,,,,
2024-11-13T13:46:37+00:00,1327,23,70,19,52,,,,
2024-11-13T13:46:54+00:00,1328,23,70,19,51,,,,
2024-11-13T13:47:12+00:00,1329,23,70,19,51,,,,
2024-11-13T13:47:28+00:00,1330,23,70,19,51,,,,
2024-11-13T13:47:46+00:00,1331,23,70,19,50,,,,
2024-11-13T13:48:03+00:00,1332,23,70,19,50,,,,
2024-11-13T13:48:19+00:00,1333,23,70,19,50,,,,
2024-11-13T13:48:36+00:00,1334,23,70,18.94,50,,,,
2024-11-13T13:48:53+00:00,1335,23.4,71,19,50,,,,
2024-11-13T13:49:11+00:00,1336,23.4,71,19,50,,,,
2024-11-13T13:49:28+00:00,1337,23.4,71,19,50,,,,
2024-11-13T13:49:45+00:00,1338,23.4,71,19,50,,,,
2024-11-13T13:50:02+00:00,1339,23.4,71,19,50,,,,
2024-11-13T13:50:18+00:00,1340,23.4,71,19,50,,,,
2024-11-13T13:50:36+00:00,1341,23.4,71,19,50,,,,
2024-11-13T13:50:53+00:00,1342,23.4,70,19,49,,,,
2024-11-13T13:51:11+00:00,1343,23.4,70,19,49,,,,
2024-11-13T13:51:27+00:00,1344,23.4,70,19.06,49,,,,
2024-11-13T13:51:47+00:00,1345,23.4,70,19,50,,,,
2024-11-13T13:52:05+00:00,1346,23.4,70,19.06,50,,,,
2024-11-13T13:52:23+00:00,1347,23.4,70,19.06,50,,,,
2024-11-13T13:52:40+00:00,1348,23.4,71,19.06,50,,,,
2024-11-13T13:52:59+00:00,1349,23.4,71,19,50,,,,
2024-11-13T13:53:17+00:00,1350,23.4,70,19.06,50,,,,
2024-11-13T13:53:34+00:00,1351,23.4,71,19.06,50,,,,
2024-11-13T13:53:51+00:00,1352,23.4,70,19.06,51,,,,
2024-11-13T13:54:08+00:00,1353,23.4,70,19.06,51,,,,
2024-11-13T13:54:25+00:00,1354,23.4,70,19.12,51,,,,
2024-11-13T13:54:41+00:00,1355,23.4,69,19.12,51,,,,
2024-11-13T13:54:58+00:00,1356,23.4,70,19.06,51,,,,
2024-11-13T13:55:15+00:00,1357,23.8,70,19.12,51,,,,
2024-11-13T13:55:32+00:00,1358,23.8,70,19.06,51,,,,
2024-11-13T13:55:49+00:00,1359,23.8,70,19.12,51,,,,
2024-11-13T13:56:05+00:00,1360,23.8,70,19.12,80,,,,
2024-11-13T13:56:21+00:00,1361,23.8,70,19.12,75,,,,
2024-11-13T13:56:38+00:00,1362,23.8,70,19.25,75,,,,
2024-11-13T13:56:55+00:00,1363,23.8,69,19.31,76,,,,
2024-11-13T13:57:11+00:00,1364,23.8,69,19.25,77,,,,
2024-11-13T13:57:28+00:00,1365,23.8,70,19.31,77,,,,
2024-11-13T13:57:45+00:00,1366,23.8,70,19.31,77,,,,
2024-11-13T13:58:01+00:00,1367,23.8,69,19.37,78,,,,
2024-11-13T13:58:18+00:00,1368,23.8,69,19.37,78,,,,
2024-11-13T13:58:35+00:00,1369,23.8,69,19.31,78,,,,
2024-11-13T13:58:51+00:00,1370,23.8,69,19.37,78,,,,
2024-11-13T13:59:07+00:00,1371,23.8,69,19.31,79,,,,
2024-11-13T13:59:24+00:00,1372,23.8,69,19.37,79,,,,
2024-11-13T13:59:41+00:00,1373,23.8,69,19.44,79,,,,
2024-11-13T13:59:58+00:00,1374,23.8,69,19.37,79,,,,
2024-11-13T14:00:15+00:00,1375,23.8,69,19.37,79,,,,
2024-11-13T14:00:31+00:00,1376,23.8,69,19.44,79,,,,
2024-11-13T14:00:48+00:00,1377,23.8,69,19.44,80,,,,
2024-11-13T14:01:04+00:00,1378,23.8,69,19.44,80,,,,
2024-11-13T14:01:21+00:00,1379,23.8,68,19.44,80,,,,
